iter	MultiClass
0	1.044383549
1	1.000336357
2	0.9645959259
3	0.9344601701
4	0.9107675435
5	0.888111145
6	0.8684261256
7	0.8529541058
8	0.8395122232
9	0.8257370397
10	0.8140702573
11	0.803898108
12	0.7960993051
13	0.7881094813
14	0.7814794341
15	0.7750703051
16	0.7700741156
17	0.7639465406
18	0.7586444599
19	0.7549733827
20	0.7523212725
21	0.7498802105
22	0.7473734113
23	0.743971665
24	0.7414673778
25	0.73946936
26	0.7368446912
27	0.7347118249
28	0.7327693999
29	0.7311687218
30	0.7297946699
31	0.7285287361
32	0.7264380469
33	0.7251584387
34	0.7237250856
35	0.7227187682
36	0.7215861486
37	0.7207908057
38	0.7184058412
39	0.7177116484
40	0.7169287046
41	0.7162804373
42	0.7155288954
43	0.7134565579
44	0.7126855108
45	0.7119308033
46	0.7104730789
47	0.7098330777
48	0.7091882638
49	0.7088021687
50	0.7084568969
51	0.7073000181
52	0.7070682537
53	0.7061787289
54	0.7056108881
55	0.7048126439
56	0.7035644362
57	0.7028608125
58	0.7023567151
59	0.7017667678
60	0.7012628858
61	0.7008308264
62	0.7000933329
63	0.6996695729
64	0.698935993
65	0.6983197355
66	0.6979529022
67	0.6972422181
68	0.6967946883
69	0.696171105
70	0.6958706211
71	0.6951119971
72	0.6948067195
73	0.6945645207
74	0.6942628977
75	0.6939555986
76	0.6934635082
77	0.6931588752
78	0.6928322366
79	0.6921646549
80	0.691942233
81	0.6913565863
82	0.6911652731
83	0.6907933402
84	0.6903379033
85	0.6900667851
86	0.689815873
87	0.6895616755
88	0.6892137857
89	0.688785687
90	0.6881330759
91	0.6877875196
92	0.6874653191
93	0.6869284083
94	0.6866348123
95	0.6863048677
96	0.6861268391
97	0.6856950338
98	0.685559385
99	0.6849550113
100	0.6844813608
101	0.6841817765
102	0.6840276695
103	0.6835658069
104	0.6834460335
105	0.6832469917
106	0.6829886386
107	0.6829173878
108	0.6825215332
109	0.6821253829
110	0.6817490372
111	0.6812903901
112	0.6808479681
113	0.6804549921
114	0.6802102052
115	0.6799570897
116	0.6795067532
117	0.6792343821
118	0.6790255965
119	0.6786809919
120	0.6783723168
121	0.6778652275
122	0.6776764977
123	0.6773465403
124	0.6770217164
125	0.6767675989
126	0.6763791575
127	0.6760259041
128	0.6758313208
129	0.6754952818
130	0.6751600631
131	0.6749239062
132	0.6747077994
133	0.6743744989
134	0.6738892326
135	0.6736909694
136	0.6733218322
137	0.6730282775
138	0.6727405361
139	0.6722505362
140	0.6719825167
141	0.6717079349
142	0.6713108145
143	0.6708553947
144	0.6706752311
145	0.670439544
146	0.670262768
147	0.6699662173
148	0.6697483219
149	0.6696060419
150	0.6694287526
151	0.6691918032
152	0.6690054485
153	0.6686947284
154	0.6685067546
155	0.6683029798
156	0.6680149777
157	0.6678297429
158	0.6676324303
159	0.6673160904
160	0.6670729788
161	0.6668500598
162	0.6666259229
163	0.6662878943
164	0.6661342515
165	0.6659539483
166	0.6655726336
167	0.6652567293
168	0.6650732045
169	0.6649188577
170	0.6647533897
171	0.664556855
172	0.664364161
173	0.6641475646
174	0.6639793955
175	0.6637696139
176	0.6633353442
177	0.6631558015
178	0.6629114885
179	0.6627549558
180	0.6625954126
181	0.66244699
182	0.66224883
183	0.6620124532
184	0.6618557424
185	0.661682171
186	0.6615089512
187	0.6612791417
188	0.6611561566
189	0.6608650885
190	0.6607743433
191	0.6606718924
192	0.6605400648
193	0.6604672687
194	0.6602996338
195	0.660163937
196	0.6600300536
197	0.6598102944
198	0.6594616518
199	0.6592309231
200	0.6589024999
201	0.6587310394
202	0.6586331535
203	0.6584662758
204	0.6582551515
205	0.6581626262
206	0.658006571
207	0.6577494499
208	0.6574332204
209	0.657341165
210	0.6572688265
211	0.6571279792
212	0.657001217
213	0.656777285
214	0.6566444305
215	0.6564639437
216	0.6562265738
217	0.6559311106
218	0.6557648783
219	0.6556463828
220	0.6555486273
221	0.6552993556
222	0.6550227528
223	0.6548309347
224	0.6545712764
225	0.6543034132
226	0.6541505219
227	0.6539837522
228	0.6538115754
229	0.6536362854
230	0.6534579904
231	0.65333141
232	0.6531769857
233	0.6530074187
234	0.6528601994
235	0.6526812873
236	0.6523931882
237	0.6522192606
238	0.6520782215
239	0.65190387
240	0.6517582285
241	0.651561632
242	0.6514853068
243	0.6513961445
244	0.6512967724
245	0.6512110424
246	0.6510910764
247	0.6509544137
248	0.6507949005
249	0.6507170444
250	0.6505521203
251	0.6504157331
252	0.650257225
253	0.6499916894
254	0.649879287
255	0.6497440294
256	0.649585198
257	0.6494902079
258	0.6494053634
259	0.6493100816
260	0.6491369589
261	0.6490755456
262	0.6489312556
263	0.6487575942
264	0.6486238396
265	0.6485068568
266	0.6483907188
267	0.6482802245
268	0.6480978267
269	0.6479382538
270	0.6478137003
271	0.6477284761
272	0.6475706964
273	0.647445359
274	0.6472732308
275	0.647214209
276	0.6471343019
277	0.6470372808
278	0.6469547124
279	0.646881521
280	0.646636774
281	0.6465734781
282	0.646425325
283	0.6461440431
284	0.6460185378
285	0.6458279067
286	0.6457119549
287	0.6455642913
288	0.6454097489
289	0.6452557492
290	0.6451389566
291	0.6449757044
292	0.6447716296
293	0.6445662268
294	0.6444576323
295	0.6443709565
296	0.6442844076
297	0.6441713904
298	0.6440160885
299	0.6439118285
300	0.6438030161
301	0.6436318947
302	0.6434609638
303	0.6433490166
304	0.6432311334
305	0.6430951039
306	0.6429068871
307	0.642739192
308	0.6425642333
309	0.6423166791
310	0.6422469152
311	0.6420761847
312	0.6419343743
313	0.6418401303
314	0.6417414303
315	0.6415868859
316	0.6414923092
317	0.6412135226
318	0.6411621797
319	0.6410934913
320	0.6409993724
321	0.6409201132
322	0.6408278892
323	0.6407171088
324	0.6406468637
325	0.6406209656
326	0.6404913974
327	0.6403627534
328	0.6402887796
329	0.6402052466
330	0.6401056175
331	0.6399824318
332	0.6398860812
333	0.639768332
334	0.639592106
335	0.6394822037
336	0.6394065662
337	0.639302413
338	0.6392573557
339	0.6391071407
340	0.6389786868
341	0.6388402789
342	0.6386486722
343	0.6385494648
344	0.6383974263
345	0.6381625936
346	0.6380039586
347	0.6379395739
348	0.6378579231
349	0.6377654227
350	0.63771923
351	0.6376202306
352	0.6375148895
353	0.6374109299
354	0.6372819507
355	0.6371994776
356	0.6370872648
357	0.636899563
358	0.6368083642
359	0.636716785
360	0.6365957484
361	0.6364130372
362	0.6363235574
363	0.6362428861
364	0.6361658977
365	0.6359833737
366	0.6358601421
367	0.6356535471
368	0.6355610886
369	0.6354355505
370	0.6353670459
371	0.6352694247
372	0.6351007153
373	0.6349238233
374	0.6347972524
375	0.6347144812
376	0.6345755714
377	0.6345239951
378	0.6344534385
379	0.6343552717
380	0.6342499754
381	0.6341903104
382	0.6341096374
383	0.6340207852
384	0.6339337627
385	0.6338414285
386	0.6337421017
387	0.6336035021
388	0.6334606437
389	0.6332784354
390	0.633209798
391	0.6330440452
392	0.6330019539
393	0.6328969513
394	0.6327882275
395	0.6327011904
396	0.6326048663
397	0.6325278759
398	0.6324483378
399	0.632377727
400	0.6322918715
401	0.6321722297
402	0.6320745223
403	0.6319230678
404	0.6318432156
405	0.6317783936
406	0.6316288726
407	0.6315650852
408	0.6315378773
409	0.6314474157
410	0.6313003561
411	0.6312342733
412	0.6310427195
413	0.6310010126
414	0.6309534
415	0.6308973193
416	0.6307424554
417	0.6306359119
418	0.6305196394
419	0.6303609101
420	0.630210902
421	0.6301468029
422	0.62993226
423	0.629874064
424	0.6297560939
425	0.6296319309
426	0.6295542918
427	0.6294718797
428	0.6294043491
429	0.6293100332
430	0.6291451343
431	0.629042518
432	0.6289096515
433	0.6288632828
434	0.6287961267
435	0.6286936772
436	0.6285966826
437	0.6285315272
438	0.6284507724
